Processor,Benchmark,"HardwareVendor     ",System,#Cores,#Chips,#CoresPerChip,#ThreadsPerCore,Processor,ProcessorMHz,ProcessorCharacteristics,CPU(s)Orderable,AutoParallelization,BasePointerSize,PeakPointerSize,1stLevelCache,2ndLevelCache,3rdLevelCache,OtherCache,Memory,OperatingSystem,FileSystem,Compiler,HWAvail,SWAvail,BaseCopies,Result,Baseline,400Peak,400Base,401Peak,401Base,403Peak,403Base,429Peak,429Base,445Peak,445Base,456Peak,456Base,458Peak,458Base,462Peak,462Base,464Peak,464Base,471Peak,471Base,473Peak,473Base,483Peak,483Base,License,TestedBy,TestSponsor,TestDate,Published,Updated,Price
AMDOpteron4170HE,CINT2006rate,DellInc.,PowerEdgeR415(AMDOpteron4170HE2.10GHz),12,2,6,1,AMDOpteron4170HE,2100,,12chips,No,32/64-bit,32/64-bit,64KBI+64KBDonchippercore,512KBI+Donchippercore,6MBI+Donchipperchip,None,32GB(8x4GB2Rx4PC3-10600R-9ECC),SUSELinuxEnterpriseServer11(x86_64)Kernel2.6.27.19-5-default,ext3,x86Open644.2.4CompilerSuite(fromAMD),07/01/10,07/01/10,12,193,168,200,161,122,114,151,131,240,145,174,155,279,238,153,151,592,592,236,211,110,110,129,104,199,189,55,DellInc.,DellInc.,07/01/10,10/01/10,03/01/12,174
AMDOpteron4170HE,CINT2006rate,DellInc.,PowerEdgeR515(AMDOpteron4170HE2.10GHz),12,2,6,1,AMDOpteron4170HE,2100,,12chips,No,32/64-bit,32/64-bit,64KBI+64KBDonchippercore,512KBI+Donchippercore,6MBI+Donchipperchip,None,32GB(8x4GB2Rx4PC3-10600R-9ECC),SUSELinuxEnterpriseServer11(x86_64)Kernel2.6.27.19-5-default,ext3,x86Open644.2.4CompilerSuite(fromAMD),07/01/10,07/01/10,12,193,168,201,160,122,115,151,131,239,144,173,155,281,237,154,151,592,592,236,211,110,110,129,104,199,189,55,DellInc.,DellInc.,07/01/10,10/01/10,03/01/12,174
AMDOpteron4170HE,CINT2006rate,Tyan,TyanYR190B8228AMDOpteron4170HE,6,1,6,1,AMDOpteron4170HE,2100,,12chips,No,32/64-bit,32/64-bit,64KBI+64KBDonchippercore,512KBI+Donchippercore,6MBI+Donchipperchip,None,16GB(2x8GB2Rx4PC3-10600R-9ECC),SUSELinuxEnterpriseServer11(x86_64)Kernel2.6.27.19-5-default,ext3,x86Open644.2.4CompilerSuite(fromAMD),08/01/10,07/01/10,6,98.3,85.8,99.4,81.4,63.1,59.4,77.9,69,130,76.4,87.7,78.3,149,120,75.6,74.5,290,290,119,107,56.6,56.6,65.1,52.2,102,96.8,49,AdvancedMicroDevices,AdvancedMicroDevices,11/01/10,02/01/11,03/01/12,174
AMDOpteron4170HE,CINT2006rate,Tyan,TyanYR190B8228AMDOpteron4170HE,12,2,6,1,AMDOpteron4170HE,2100,,12chips,No,32/64-bit,32/64-bit,64KBI+64KBDonchippercore,512KBI+Donchippercore,6MBI+Donchipperchip,None,32GB(4x8GBDDR3-1333CL9RegDualRank),SUSELinuxEnterpriseServer11(x86_64)Kernel2.6.27.19-5-default,ext3,x86Open644.2.4CompilerSuite(fromAMD),08/01/10,07/01/10,12,193,168,202,160,122,115,151,131,240,145,174,154,287,236,153,149,582,592,235,210,110,110,129,103,199,189,49,AdvancedMicroDevices,AdvancedMicroDevices,08/01/10,08/01/10,03/01/12,174
AMDOpteron4234,CINT2006rate,DellInc.,PowerEdgeR415(AMDOpteron42343.10GHz),12,2,6,1,AMDOpteron4234,3100,AMDTurboCOREtechnologyupto3.50GHz,12chips,No,32/64-bit,32/64-bit,192KBIonchipperchip64KBIshared/2cores;16KBDonchippercore,6MBI+Donchipperchip2MBshared/2cores,8MBI+Donchipperchip,None,32GB(4x8GB2Rx4PC3-12800R-11ECC),RedHatEnterpriseLinuxServerrelease6.1Kernel2.6.32-131.0.15.el6.x86_64,ext3,C/C++:Version4.2.5.2ofx86Open64CompilerSuite(fromAMD),01/01/12,07/01/11,12,228,203,177,150,133,128,174,157,289,191,173,156,371,334,153,139,1372,1243,226,194,156,156,152,142,231,224,55,DellInc.,DellInc.,12/01/11,01/01/12,03/01/12,174
AMDOpteron4234,CINT2006rate,DellInc.,PowerEdgeR515(AMDOpteron42343.10GHz),12,2,6,1,AMDOpteron4234,3100,AMDTurboCOREtechnologyupto3.50GHz,12chips,No,32/64-bit,32/64-bit,192KBIonchipperchip64KBIshared/2cores;16KBDonchippercore,6MBI+Donchipperchip2MBshared/2cores,8MBI+Donchipperchip,None,32GB(4x8GB2Rx4PC3-12800R-11ECC),RedHatEnterpriseLinuxServerrelease6.1Kernel2.6.32-131.0.15.el6.x86_64,ext3,C/C++:Version4.2.5.2ofx86Open64CompilerSuite(fromAMD),01/01/12,07/01/11,12,228,203,178,149,135,128,174,156,289,191,173,156,371,333,153,139,1378,1243,227,193,156,156,152,142,231,225,55,DellInc.,DellInc.,12/01/11,01/01/12,03/01/12,174
AMDOpteron4234,CINT2006rate,Supermicro,SupermicroA+Server2022TC-HTRF4(H8DCT-HLN4FAMDOpteron4234),12,2,6,1,AMDOpteron4234,3100,AMDTurboCOREtechnologyupto3.50GHz,12chips,No,32/64-bit,32/64-bit,192KBIonchipperchip64KBIshared/2cores;16KBDonchippercore,6MBI+Donchipperchip2MBshared/2cores,8MBI+Donchipperchip,None,32GB(4x8GB2Rx4PC3-12800R-11ECC),RedHatEnterpriseLinuxServerrelease6.2Kernel2.6.32-220.el6.x86_64,ext3,C/C++:Version4.2.5.2ofx86Open64CompilerSuite(fromAMD),11/01/11,12/01/11,12,227,202,175,148,136,131,172,155,287,190,174,157,358,329,153,140,1368,1240,226,192,154,154,152,141,227,220,1176,Supermicro,Supermicro,01/01/12,04/01/12,05/01/12,174
AMDOpteron4234,CINT2006rate,Tyan,TyanYR190-B8228AMDOpteron4234,12,2,6,1,AMDOpteron4234,3100,AMDTurboCOREtechnologyupto3.50GHz,12chips,No,32/64-bit,32/64-bit,192KBIonchipperchip64KBIshared/2cores;16KBDonchippercore,6MBI+Donchipperchip2MBshared/2cores,8MBI+Donchipperchip,None,32GB(4x8GB2Rx4PC3-12800R-11ECC),RedHatEnterpriseLinuxServerrelease6.1Kernel2.6.32-131.0.15.el6.x86_64,ext3,C/C++:Version4.2.5.2ofx86Open64CompilerSuite(fromAMD),11/01/11,07/01/11,12,231,203,181,149,136,129,175,156,290,192,174,155,372,319,155,139,1390,1249,229,195,157,157,155,143,229,221,49,AdvancedMicroDevices,AdvancedMicroDevices,12/01/11,01/01/12,03/01/12,174
AMDOpteron4180,CINT2006rate,DellInc.,PowerEdgeR415(AMDOpteron41802.60GHz),12,2,6,1,AMDOpteron4180,2600,,12chips,No,32/64-bit,32/64-bit,64KBI+64KBDonchippercore,512KBI+Donchippercore,6MBI+Donchipperchip,None,32GB(8x4GB2Rx4PC3-10600R-9ECC),SUSELinuxEnterpriseServer11(x86_64)Kernel2.6.27.19-5-default,ext3,x86Open644.2.4CompilerSuite(fromAMD),07/01/10,07/01/10,12,225,195,246,195,142,134,170,145,266,151,211,189,334,267,188,184,705,705,290,258,118,118,151,120,228,217,55,DellInc.,DellInc.,07/01/10,10/01/10,03/01/12,188
AMDOpteron4180,CINT2006rate,DellInc.,PowerEdgeR515(AMDOpteron41802.60GHz),12,2,6,1,AMDOpteron4180,2600,,12chips,No,32/64-bit,32/64-bit,64KBI+64KBDonchippercore,512KBI+Donchippercore,6MBI+Donchipperchip,None,32GB(8x4GB2Rx4PC3-10600R-9ECC),SUSELinuxEnterpriseServer11(x86_64)Kernel2.6.27.19-5-default,ext3,x86Open644.2.4CompilerSuite(fromAMD),07/01/10,07/01/10,12,225,195,245,195,141,134,171,145,264,151,208,188,332,276,188,179,704,704,289,258,118,118,151,120,228,217,55,DellInc.,DellInc.,07/01/10,10/01/10,03/01/12,188
AMDOpteron4180,CINT2006rate,Tyan,TyanYR190B8228AMDOpteron4180,6,1,6,1,AMDOpteron4180,2600,,12chips,No,32/64-bit,32/64-bit,64KBI+64KBDonchippercore,512KBI+Donchippercore,6MBI+Donchipperchip,None,16GB(2x8GB2Rx4PC3-10600R-9ECC),SUSELinuxEnterpriseServer11(x86_64)Kernel2.6.27.19-5-default,ext3,x86Open644.2.4CompilerSuite(fromAMD),08/01/10,07/01/10,6,116,100,121,99.3,74.4,70.1,89.6,77.7,144,80.7,107,95.8,180,141,92.6,91.1,350,350,146,131,61.1,61.1,76.4,61,119,113,49,AdvancedMicroDevices,AdvancedMicroDevices,11/01/10,02/01/11,03/01/12,188
AMDOpteron4180,CINT2006rate,Tyan,TyanYR190B8228AMDOpteron4180,12,2,6,1,AMDOpteron4180,2600,,12chips,No,32/64-bit,32/64-bit,64KBI+64KBDonchippercore,512KBI+Donchippercore,6MBI+Donchipperchip,None,32GB(4x8GBDDR3-1333CL9RegDualRank),SUSELinuxEnterpriseServer11(x86_64)Kernel2.6.27.19-5-default,ext3,x86Open644.2.4CompilerSuite(fromAMD),08/01/10,07/01/10,12,225,195,244,194,142,134,171,145,264,153,206,188,337,273,187,182,703,705,289,258,118,118,151,120,229,217,49,AdvancedMicroDevices,AdvancedMicroDevices,07/01/10,08/01/10,03/01/12,188
